trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.80638417808385,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.95}",35,23,22.2803559364888,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-39.35539989020531,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-263.47300021542446,"{0: 18, 1: 3, 2: 8, 3: 2, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-155.03820979815643,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-122.43183588386479,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-71.39833563399976,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-3.739848940880722,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-84.88119011836037,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-79.29910949208026,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-80.69220787884417,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,5,-68.99138333626917,"{0: 11, 1: 1, 2: 0, 3: 2, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-2.2193093562673125,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-18.221698509438156,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,13,-32.24787336840645,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,3,11.966746697256996,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,9,17.674757782719066,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,3,29.493341670792983,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,13,17.878335653475943,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,8,22.82664845753141,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,10,20.429649705607517,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,14,18.349732931339567,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,8,30.42867986484498,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,0,39.17009717959506,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,19,10.566617729881232,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,10,16.16617281774891,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,14,20.190022101612414,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,14,28.048980799361125,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,5,38.175285173933396,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,3,33.55300321592864,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
