trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-159.42318640807832,"{0: 21, 1: 5, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.36382254687905,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.4912867695814,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.14755252054448,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.68956512323604,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-189.9580552783845,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.60712233461415,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.65901245033473,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-155.88726989378117,"{0: 18, 1: 6, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-220.5633856555582,"{0: 16, 1: 6, 2: 9, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.85271834052175,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-164.84577193291508,"{0: 18, 1: 1, 2: 8, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.70783150230584,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.92384293143947,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-129.31064637999341,"{0: 16, 1: 4, 2: 7, 3: 3, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.486150447727844,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,7,-78.36309521942414,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.87989734757625,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-183.51255833816214,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-134.34268256052098,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-83.65217077143538,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-98.44891968440723,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.22096154365056,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-197.8119636281884,"{0: 9, 1: 4, 2: 3, 3: 0, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-118.51583483966733,"{0: 17, 1: 5, 2: 7, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-117.13223689274216,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-65.5672609184908,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.08424653895044,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-98.06363646491621,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-122.19595440834406,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
